Feature,Num_Significant_Subjects
Question_Automated_Readability_Index.1,7
Question_Avg_Clauses_Per_Sentence,7
Question_Causal_Depth,7
Story_Max_Distance_To_Centroid,7
Story_PCA_Cumulative_Variance,7
Story_PCA_First_Component,7
Story_POS_Diversity,7
Story_POS_Diversity.1,7
Story_Parse_Total_Depth,7
Question_Dale_Chall,7
Question_Dale_Chall_Readability,7
Question_Dep_Label_Diversity,7
Question_Dep_Total_Depth,7
Question_Dialogue_Markers,7
Story_MS_Verb_Density,7
Story_MS_perceptual_verbs_Total,7
Story_Politeness_Markers,7
Story_Pronoun_Count,7
Story_Question_wh_questions_Count,7
Story_Question_yes_no_questions_Count,7
Story_Reading_Time,7
Story_Semantic_Coherence_Avg,7
Story_Semantic_Coherence_Min,7
Story_Function_Word_Count,7
Question_Discourse_temporal_Count,7
Question_Concrete_Word_Count,7
Question_Content_Word_Count,7
Story_Hedging_Count,7
Story_Lexicon_Count,7
Story_MS_Arg_Complexity,7
Story_Entity_Count,7
Story_Entity_Count.1,7
Story_Entity_Count_Enhanced,7
Story_Entity_Density,7
Story_Entity_Relation_Depth,7
Story_Entity_Switches,7
Story_Digit_Ratio,7
Story_Discourse_Avg_Path_Length,7
Story_Discourse_Network_Clustering,7
Story_Discourse_Network_Density,7
Story_Discourse_Network_Edges,7
Story_Discourse_Network_Nodes,7
Question_Inference_Chain_Depth,7
Question_Difficult_Words,7
Question_Difficult_Words.1,7
Question_Discourse_causal_Count,7
Story_Discourse_causal_Count,7
Story_Embedding_Variance,7
Story_Contradiction_Resolution,7
Story_Coordinate_Clauses,7
Story_Coordinate_Clauses.1,7
Story_Coref_Complexity,7
Question_MS_perceptual_verbs_Total,7
Question_MS_perceptual_verbs_visual_Count,7
Question_Parse_Total_Depth,7
Story_Dep_Label_Diversity,7
Story_Dep_Total_Depth,7
Story_Char_Count,7
Story_Clause_Count,7
Story_Cognitive_Load_Index,7
Story_Complex_Dependencies,7
Story_Arc_Avg_Length,7
Story_Attention_Switching_Cost,7
Story_Avg_Arc_Length,7
Question_Temporal_Complexity,7
Question_Temporal_Progression,7
Question_Temporal_Semantic_Complexity,7
Question_TextBlob_Polarity,7
Question_TextBlob_Subjectivity,7
Question_Total_Clauses_Enhanced,7
Question_Predicate_Count,7
Question_Punct_Ratio,7
Question_Subordinate_Clauses,7
Question_Subordinate_Clauses.1,7
Story_Total_Clauses,7
Story_Total_Clauses_Enhanced,7
Story_Uncertainty_Level,7
Story_Word_Count_Enhanced,7
Question_Automated_Readability_Index,7
Story_Subordinate_Clauses,7
Story_Subordinate_Clauses.1,7
Story_Syllable_Count,7
Story_Temporal_MS_Complexity,7
Question_Automated_Readability,7
Question_Attention_Max,7
Story_Temporal_Progression,6
Story_Text_Standard,6
Story_Unique_Word_Ratio,6
Story_Temporal_Semantic_Complexity,6
Story_TextBlob_Subjectivity,6
Story_Verb_Argument_Complexity,6
Story_Sentiment_Neutral,6
Question_SMOG_Index.1,6
Story_Complexity_Gradient,6
Story_Automated_Readability_Index.1,6
Story_Automated_Readability_Index,6
Story_Automated_Readability,6
Story_Attention_Variance,6
Story_Attention_Max,6
Story_Attention_Entropy,6
Story_Arc_Max_Length,6
Story_Arc_Length_Variance,6
Story_Clause_Ratio,6
Question_Unique_Word_Ratio,6
Story_Avg_Dependency_Depth_Enhanced,6
Story_Avg_Clauses_Per_Sentence,6
Question_Question_wh_questions_Count,6
Question_SMOG_Index,6
Question_Semantic_Density,6
Story_Gunning_Fog.1,6
Question_MS_Verb_Density,6
Question_Function_Word_Count,6
Question_Gunning_Fog,6
Question_Gunning_Fog.1,6
Story_Discourse_Connected_Components,6
Story_Flesch_Kincaid_Grade.1,6
Question_Flesch_Kincaid_Grade.2,6
Question_Flesch_Kincaid_Grade.1,6
Story_Flesch_Kincaid_Grade,6
Story_Linsear_Write,6
Story_Lexical_Cohesion,6
Story_Inference_Chain_Depth,6
Story_Cross_Sentence_Attention,6
Story_Embedding_Std,6
Story_Embedding_Trajectory_Length,6
Story_Discourse_temporal_Count,6
Question_MS_emotional_verbs_Total,6
Question_MS_emotional_verbs_basic_Count,6
Question_MS_cognitive_verbs_Total,6
Question_MS_cognitive_verbs_basic_Count,6
Story_Dale_Chall_Readability,6
Story_Dale_Chall,6
Story_Content_Word_Count,6
Question_Mental_State_Depth,6
Story_Dep_Avg_Depth,6
Question_Flesch_Kincaid_Grade,6
Story_Dep_Max_Depth,6
Story_Dep_Depth_Variance,6
Story_Dialogue_Markers,6
Story_Avg_Distance_To_Centroid,6
Story_Avg_Sentence_Length,6
Story_Avg_Word_Length_Enhanced,6
Story_Sentence_Count,6
Story_Linsear_Write_Formula,6
Story_Entity_Type_Diversity,6
Story_Entity_Type_Diversity.1,6
Story_Entity_Network_Clustering,6
Story_Entity_Network_Edges,6
Story_MS_perceptual_verbs_auditory_Count,6
Story_MS_Complex_Args,6
Story_Punct_Ratio,6
Story_MS_volitional_verbs_intention_Count,6
Story_Yngve_Depth,6
Story_Yngve_Depth.1,6
Story_MS_volitional_verbs_Total,6
Story_Parse_Max_Depth,6
Story_Max_Arc_Length,6
Story_Max_Dependency_Depth_Enhanced,6
Story_Flesch_Kincaid_Grade.2,6
Story_Sentence_Count_Enhanced,6
Story_Semantic_Density,6
Story_Parse_Avg_Depth,6
Story_Mental_State_Depth,6
Story_MS_perceptual_verbs_visual_Count,6
Story_Flesch_Reading_Ease.2,6
Question_Emotional_Transitions,6
Story_Flesch_Reading_Ease,6
Story_Gunning_Fog,6
Question_Discourse_conditional_Count,6
Story_Flesch_Reading_Ease.1,6
Story_Causal_Chain_Depth,5
Question_Sentiment_Neutral,5
Question_Sentiment_Negative,5
Question_Semantic_Mental_State_Depth,5
Question_Arc_Length_Variance,5
Story_Causal_Depth,5
Story_Complexity_Variance,5
Story_Complexity_Peaks,5
Story_Abstract_Concrete_Ratio,5
Story_Abstract_Word_Count,5
Question_Syllable_Count,5
Question_Reading_Time,5
Question_Yngve_Depth,5
Question_Yngve_Depth.1,5
Question_Question_yes_no_questions_Count,5
Question_Word_Count_Enhanced,5
Question_Total_Clauses,5
Question_Verb_Argument_Complexity,5
Question_Text_Standard,5
Question_Arc_Max_Length,5
Story_Sentiment_Positive,5
Story_Subject_Changes,5
Story_Temporal_Complexity,5
Story_Temporal_Markers,5
Question_Attention_Variance,5
Question_Attention_Entropy,5
Story_ToM_Complex_Reasoning,5
Story_Working_Memory_Load,5
Story_TextBlob_Polarity,5
Story_Tense_Variety,5
Question_Complexity_Score,5
Question_Complex_Dependencies,5
Question_Sentiment_Positive,5
Question_Parse_Avg_Depth,5
Story_Emotion_Joy_Count,5
Question_MS_volitional_verbs_Total,5
Question_Composite_Readability,5
Question_Contradiction_Resolution,5
Question_Coordinate_Clauses,5
Story_MS_Clause_Count,5
Story_Entity_Network_Nodes,5
Story_Entity_Network_Density,5
Story_Emotional_Transitions,5
Story_False_Belief_Score,5
Question_Flesch_Reading_Ease.2,5
Question_Linsear_Write_Formula,5
Question_Linsear_Write,5
Question_Lexicon_Count,5
Question_Flesch_Reading_Ease.1,5
Question_Flesch_Reading_Ease,5
Story_Emotion_Anger_Count,5
Story_Discourse_conditional_Count,5
Question_Max_Dependency_Depth_Enhanced,5
Question_POS_Diversity,5
Question_POS_Diversity.1,5
Question_Max_Arc_Length,5
Question_Parse_Max_Depth,5
Story_Difficult_Words,5
Story_Difficult_Words.1,5
Question_Entity_Network_Nodes,5
Story_Recursive_MS_Max_Depth,5
Question_Discourse_contrast_Count,5
Question_Entity_Network_Edges,5
Question_Entity_Network_Density,5
Question_Entity_Count,5
Question_Entity_Count_Enhanced,5
Question_Entity_Density,5
Question_Entity_Relation_Depth,5
Story_MS_Contradictions,5
Story_MS_Embedding_Avg_Depth,5
Story_MS_Embedding_Max_Depth,5
Story_MS_Total_Args,5
Story_MS_cognitive_verbs_basic_Count,5
Story_MS_cognitive_verbs_Total,5
Story_MS_emotional_verbs_Total,5
Story_MS_emotional_verbs_basic_Count,5
Story_Recursive_MS_Chains,5
Story_MS_perceptual_verbs_general_Count,5
Story_Predicate_Count,5
Story_Perspective_Shifts,5
Question_Dep_Depth_Variance,5
Question_Dep_Max_Depth,5
Story_Sentiment_Negative,5
Story_Sentiment_Compound,5
Story_Mental_State_Interaction,5
Question_Cross_Sentence_Attention,5
Question_Coordinate_Clauses.1,5
Story_Perspective_Complexity,5
Question_Dep_Avg_Depth,5
Story_Semantic_Mental_State_Depth,5
Story_MS_volitional_verbs_decision_Count,5
Question_Coleman_Liau_Index,5
Question_Clause_Ratio,5
Question_Coleman_Liau,5
Question_Char_Count,5
Question_Clause_Count,5
Question_Avg_Word_Length_Enhanced,5
Question_Avg_Sentence_Length,5
Question_Avg_Dependency_Depth_Enhanced,5
Question_Alpha_Char_Ratio,5
Question_Avg_Arc_Length,4
Story_Readability_Composite,4
Story_Character_Introduction,4
Question_Arc_Avg_Length,4
Question_Sentiment_Compound,4
Question_Entity_Type_Diversity.1,4
Question_Hedging_Count,4
Question_Entity_Type_Diversity,4
Question_Readability_Composite,4
Story_Composite_Readability,4
Story_Discourse_contrast_Count,4
Story_ToM_perspective_taking_Count,3
Story_ToM_mental_state_attribution_Count,3
Question_Uncertainty_Level,3
Story_Alpha_Char_Ratio,3
Story_Concrete_Word_Count,3
Story_MS_emotional_verbs_complex_Count,3
Story_Perspective_Markers,3
Story_SMOG_Index,3
Story_SMOG_Index.1,3
Question_Complexity_Variance,3
Question_MS_volitional_verbs_intention_Count,3
